<<<<<<< HEAD
00001:81:85:79:245: 081.67
00002:73:61:76:210: 070.00
00003:56:72:95:223: 074.33
00004:73:57:81:211: 070.33
00005:89:67:74:230: 076.67
00006:51:95:56:202: 067.33
00007:74:73:87:234: 078.00
00008:95:76:51:222: 074.00
00009:84:74:81:239: 079.67
00010:55:71:70:196: 065.33
00011:99:68:59:226: 075.33
00012:69:51:57:177: 059.00
00013:79:81:77:237: 079.00
00014:100:61:71:232: 077.33
00015:51:56:86:193: 064.33
00016:51:58:65:174: 058.00
00017:72:75:59:206: 068.67
00018:55:96:70:221: 073.67
00019:56:92:55:203: 067.67
00020:91:52:100:243: 081.00
00021:69:89:53:211: 070.33
00022:67:92:76:235: 078.33
00023:97:82:51:230: 076.67
00024:97:65:80:242: 080.67
00025:57:81:100:238: 079.33
00026:77:99:89:265: 088.33
00027:63:52:66:181: 060.33
00028:85:100:86:271: 090.33
00029:63:90:93:246: 082.00
00030:99:67:68:234: 078.00
=======
00001:54:73:95:222: 74.00
00002:80:62:56:198: 66.00
00003:88:72:81:241: 80.33
00004:60:55:52:167: 55.67
00005:72:61:64:197: 65.67
00006:59:90:67:216: 72.00
00007:65:56:95:216: 72.00
00008:93:84:81:258: 86.00
00009:91:79:88:258: 86.00
00010:88:71:64:223: 74.33
00011:92:56:70:218: 72.67
00012:76:73:73:222: 74.00
00013:88:85:62:235: 78.33
00014:87:85:52:224: 74.67
00015:69:58:75:202: 67.33
00016:92:71:63:226: 75.33
00017:91:56:65:212: 70.67
00018:91:57:55:203: 67.67
00019:69:94:98:261: 87.00
00020:87:87:87:261: 87.00
00021:100:54:89:243: 81.00
00022:90:60:100:250: 83.33
00023:85:78:95:258: 86.00
00024:81:87:87:255: 85.00
00025:79:94:81:254: 84.67
00026:91:61:87:239: 79.67
00027:97:62:92:251: 83.67
00028:84:92:95:271: 90.33
00029:73:90:76:239: 79.67
00030:96:87:66:249: 83.00

>>>>>>> e369461c8344791c95605052a62dad97ff150b09
